330000K5980R,K599,BTC,包头,GZQ,广州,BXP,北京西,GZQ,广州,05:14,11:12,1,,29:58,Y,1798,1000003000400000000310000000003000000001,20161229,20161112,W3431333,10401030,3,1413,C1,09,36,59,0800,0,0,正常车次，不受控
240000D90305,D903,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,20:15,06:33,1,动车,10:18,Y,618,O000000050F000000444,20301231,20161113,F3O3,O0F0,3,OF,P3,01,05,29,0800,0,0,正常车次，不受控
240000D90900,D909,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,20:20,06:38,1,动车,10:18,Y,618,F000000386O000000039,20250323,20161113,O3F3,F0O0,3,FO,P4,01,05,29,0800,0,0,正常车次，不受控
240000D92707,D927,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,20:25,06:48,1,动车,10:23,Y,623,O000000063F000000397,20250415,20161113,F3O3,O0F0,3,OF,P3,01,05,29,0800,0,0,正常车次，不受控
240000D9210K,D921,BXP,北京西,IZQ,广州南,BXP,北京西,IZQ,广州南,24:00,24:00,1,动车,99:59,IS_TIME_NOT_BUY,5999,,,20161113,,,,,P2,01,06,0,,0,1,列车停运
240000D92310,D923,BXP,北京西,ZHQ,珠海,BXP,北京西,IZQ,广州南,20:35,06:43,1,动车,10:08,Y,608,F000000033O000000000,20301231,20161113,O3F3,F0O0,3,FO,P3,01,05,29,0800,0,0,正常车次，不受控
240000K8190H,K819,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,07:12,09:17,1,,26:05,Y,1565,1022403312405980001110224006193038100256,20161229,20161113,W3431333,10401030,3,1413,P4,01,21,59,0800,0,0,正常车次，不受控
240000G30707,G307,BXP,北京西,ICW,成都东,BXP,北京西,CUW,重庆北,08:30,20:24,0,,11:54,Y,714,O076750331M1126000009238300003,20161229,20161113,O3M393,O0M090,3,OM9,P3,01,17,59,0800,0,0,正常车次，不受控
240000G30905,G309,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,09:32,21:46,0,,12:14,Y,734,O076750347M1126000009238300004,20161229,20161113,O3M393,O0M090,3,OM9,P4,01,18,59,0800,0,0,正常车次，不受控
240000K5890Q,K589,BXP,北京西,CQW,重庆,BXP,北京西,BPW,北碚,10:31,14:44,1,,28:13,Y,1693,1022903208406130001510229004003038900085,20161229,20161113,W3431333,10401030,3,1413,P4,01,24,59,0800,0,0,正常车次，不受控
2400000Z490D,Z49,BXP,北京西,CDW,成都,BXP,北京西,CUW,重庆北,11:28,05:32,1,,18:04,Y,1084,1022903124406130005010229000553038900000,20161229,20161113,W3431333,10401030,3,1413,P4,01,08,59,0800,0,0,正常车次，不受控
24000000T90Q,T9,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,15:05,16:19,1,,25:14,Y,1514,1022903396406130000610229006613038900180,20161229,20161113,W3431333,10401030,3,1413,P4,01,14,59,0800,0,0,正常车次，不受控
24000000Z320,Z3,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,17:48,12:12,1,,18:24,Y,1104,1022903434406130000010229007463038900061,20161229,20161113,W3431333,10401030,3,1413,P3,01,07,59,0800,0,0,正常车次，不受控
2400000Z9501,Z95,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,18:06,16:33,1,,22:27,Y,1347,1025103124406730001930426002291025100151,20161229,20161113,W3431333,10403010,3,1431,P4,01,11,59,0800,0,0,正常车次，不受控
240000K50722,K507,BXP,北京西,GIW,贵阳,BXP,北京西,CQW,重庆,21:23,02:14,2,,28:51,Y,1731,1023603238406290000110236005363039900328,20161229,20161113,W3431333,10401030,3,1413,P3,01,27,59,0800,0,0,正常车次，不受控
780000K5080J,K508,GIW,贵阳,BXP,北京西,CQW,重庆,BXP,北京西,07:58,15:22,1,,31:24,Y,1884,1000003062400000002810000001063000000031,20161229,20161112,W3431333,10401030,3,1413,W2,05,33,59,1100,0,0,正常车次，不受控
770000G31005,G310,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,08:17,20:20,0,,12:03,Y,723,O000000431M0000000259000000004,20161229,20161113,O3M393,O0M090,3,OM9,W1,01,19,59,1100,0,0,正常车次，不受控
760000G30805,G308,ICW,成都东,BXP,北京西,CUW,重庆北,BXP,北京西,09:46,21:41,0,,11:55,Y,715,O000000000M0000000009000000004,20161229,20161113,O3M393,O0M090,3,OM9,W2,05,20,59,1100,0,0,正常车次，不受控
7700000T1006,T10,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,10:38,11:12,1,,24:34,Y,1474,1000003328400000002310000007493000000200,20161229,20161113,W3431333,10401030,3,1413,W1,01,12,59,1100,0,0,正常车次，不受控
7700000Z9601,Z96,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,12:04,10:51,1,,22:47,Y,1367,1000003141400000004710000001593000000360,20161229,20161113,W3431333,10401030,3,1413,W2,01,14,59,1100,0,0,正常车次，不受控
7600000Z5003,Z50,CDW,成都,BXP,北京西,CUW,重庆北,BXP,北京西,14:44,10:02,1,,19:18,Y,1158,1000003000400000004710000000003000000000,20161229,20161113,W3431333,10401030,3,1413,W1,04,11,59,1100,0,0,正常车次，不受控
77000000Z400,Z4,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,15:08,10:10,1,,19:02,Y,1142,1000003464400000001710000007613000000115,20161229,20161113,W3431333,10401030,3,1413,W1,01,08,59,1100,0,0,正常车次，不受控
770000K82009,K820,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,21:40,21:23,1,,23:43,Y,1423,1000003327400000002310000006643000000170,20161229,20161113,W3431333,10401030,3,1413,W2,01,14,59,1100,0,0,正常车次，不受控
770000K59009,K590,CQW,重庆,BXP,北京西,CQW,重庆,BXP,北京西,22:00,05:18,2,,31:18,Y,1878,1000003191400000003210000004483000000210,20161229,20161113,W3431333,10401030,3,1413,W2,01,26,59,1100,0,0,正常车次，不受控
26000K775201,K7752,SJP,石家庄,CDP,承德,BXP,北京西,BJP,北京,23:51,00:06,1,,00:15,Y,15,1000003062400000000410000001203000000038,20250619,20161113,W3431333,10401030,3,1413,P2,05,06,29,0800,0,0,正常车次，不受控
240000K8190H,K819,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,07:12,09:17,1,,26:05,Y,1565,1000003312400000001110000006193000000256,20161229,20161113,W3431333,10401030,3,1413,P4,01,21,59,0800,0,0,正常车次，不受控
240000G30707,G307,BXP,北京西,ICW,成都东,BXP,北京西,CUW,重庆北,08:30,20:24,0,,11:54,Y,714,O0000003319000000003M000000000,20161229,20161113,O3M393,O090M0,3,O9M,P3,01,17,59,0800,0,0,正常车次，不受控
240000G30905,G309,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,09:32,21:46,0,,12:14,Y,734,O000000347M0000000009000000004,20161229,20161113,O3M393,O0M090,3,OM9,P4,01,18,59,0800,0,0,正常车次，不受控
240000K5890Q,K589,BXP,北京西,CQW,重庆,BXP,北京西,BPW,北碚,10:31,14:44,1,,28:13,Y,1693,1000003208400000001510000004003000000085,20161229,20161113,W3431333,10401030,3,1413,P4,01,24,59,0800,0,0,正常车次，不受控
2400000Z490D,Z49,BXP,北京西,CDW,成都,BXP,北京西,CUW,重庆北,11:28,05:32,1,,18:04,Y,1084,1000003124400000005030000000001000000055,20161229,20161113,W3431333,10403010,3,1431,P4,01,08,59,0800,0,0,正常车次，不受控
24000000T90Q,T9,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,15:05,16:19,1,,25:14,Y,1514,1000003396400000000610000006613000000180,20161229,20161113,W3431333,10401030,3,1413,P4,01,14,59,0800,0,0,正常车次，不受控
24000000Z320,Z3,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,17:48,12:12,1,,18:24,Y,1104,1000003434400000000010000007463000000061,20161229,20161113,W3431333,10401030,3,1413,P3,01,07,59,0800,0,0,正常车次，不受控
2400000Z9501,Z95,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,18:06,16:33,1,,22:27,Y,1347,1000003124400000001910000001513000000229,20161229,20161113,W3431333,10401030,3,1413,P4,01,11,59,0800,0,0,正常车次，不受控
240000K50722,K507,BXP,北京西,GIW,贵阳,BXP,北京西,CQW,重庆,21:23,02:14,2,,28:51,Y,1731,1000003238400000000130000003281000000536,20161229,20161113,W3431333,10403010,3,1431,P3,01,27,59,0800,0,0,正常车次，不受控
6i00000G720C,G72,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,08:27,18:21,0,,09:54,Y,594,O000000053M0000000619000000024,20161229,20161113,O3M393,O0M090,3,OM9,Q6,02,15,59,1300,0,0,正常车次，不受控
6b0000Z20202,Z202,SEQ,三亚,BXP,北京西,GZQ,广州,BXP,北京西,08:50,06:40,1,,21:50,Y,1310,10000031854000000000300000002560000000041000000221,20161229,20161112,W343136333,1040306010,3,14361,Q6,09,16,59,1100,0,0,正常车次，不受控
6c00000G6604,G66,IZQ,广州南,BXP,北京西,IZQ,广州南,BXP,北京西,10:00,18:00,0,,08:00,Y,480,O000000509M0000000919000000024,20161229,20161113,O3M393,O0M090,3,OM9,Q9,01,06,59,1300,0,0,正常车次，不受控
6c00000G6809,G68,IZQ,广州南,BXP,北京西,IZQ,广州南,BXP,北京西,11:15,20:56,0,,09:41,Y,581,O000000444M0000001129000000022,20161229,20161113,O3M393,O0M090,3,OM9,Q7,01,16,59,1300,0,0,正常车次，不受控
6i00000G8007,G80,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,12:11,21:46,0,,09:35,Y,575,O0000000299000000002O000003000M000000062,20161229,20161113,O393M3W3,O090O0M0,3,O9OM,Q7,03,19,59,1300,0,0,正常车次，不受控
6c00000G7008,G70,IZQ,广州南,BXP,北京西,IZQ,广州南,BXP,北京西,12:50,22:27,0,,09:37,Y,577,O000000644M0000000899000000024,20161229,20161113,O3M393,O0M090,3,OM9,Q7,01,16,59,1300,0,0,正常车次，不受控
630000K6000D,K600,GZQ,广州,BTC,包头,GZQ,广州,BXP,北京西,15:02,21:00,1,,29:58,Y,1798,1000003328400000001210000003913000000178,20161229,20161113,W3431333,10401030,3,1413,Q6,01,29,59,1100,0,0,正常车次，不受控
6300000Z3600,Z36,GZQ,广州,BXP,北京西,GZQ,广州,BXP,北京西,16:25,13:44,1,,21:19,Y,1279,10000031864000000001100000033360000000143000000180,20161229,20161113,W343136333,1040106030,3,14163,Q9,01,07,59,1100,0,0,正常车次，不受控
6500000Z9801,Z98,JQO,九龙,BXP,北京西,GGQ,广州东,BXP,北京西,18:06,15:30,1,,21:24,Y,1284,1000003130400000002010000001663000000012,20161229,20161113,W3431333,10401030,3,1413,Q9,02,06,59,1130,0,0,正常车次，不受控
6e0000D92404,D924,ZHQ,珠海,BXP,北京西,IZQ,广州南,BXP,北京西,20:10,06:51,1,动车,10:41,Y,641,F000000032O000000000,20991231,20161113,O3F3,F0O0,3,FO,Q7,02,06,29,1400,0,0,正常车次，不受控
6i0000D9020C,D902,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:15,06:56,1,动车,10:41,Y,641,O000000000F000000036,20991231,20161113,F3O3,O0F0,3,OF,Q6,02,05,29,0900,0,0,正常车次，不受控
6i0000D9040C,D904,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:20,07:01,1,动车,10:41,Y,641,O000000000F000000033,20991231,20161113,F3O3,O0F0,3,OF,Q9,02,06,29,0900,0,0,正常车次，不受控
6i0000D91008,D910,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:25,07:13,1,动车,10:48,Y,648,F000000040O000000000,20991231,20161113,O3F3,F0O0,3,FO,Q7,02,07,29,0900,0,0,正常车次，不受控
6i0000D92808,D928,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,20:30,07:18,1,动车,10:48,Y,648,O000000000F000000036,20991231,20161113,F3O3,O0F0,3,OF,Q7,02,07,29,0900,0,0,正常车次，不受控
240000K8190H,K819,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,07:12,09:17,1,,26:05,Y,1565,1000003312400000001110000006193000000256,20161229,20161113,W3431333,10401030,3,1413,P4,01,21,59,0800,0,0,正常车次，不受控
240000G30707,G307,BXP,北京西,ICW,成都东,BXP,北京西,CUW,重庆北,08:30,20:24,0,,11:54,Y,714,O000000331M0000000009000000003,20161229,20161113,O3M393,O0M090,3,OM9,P3,01,17,59,0800,0,0,正常车次，不受控
240000G30905,G309,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,09:32,21:46,0,,12:14,Y,734,O000000347M0000000009000000004,20161229,20161113,O3M393,O0M090,3,OM9,P4,01,18,59,0800,0,0,正常车次，不受控
240000K5890Q,K589,BXP,北京西,CQW,重庆,BXP,北京西,BPW,北碚,10:31,14:44,1,,28:13,Y,1693,1000003208400000001510000004003000000085,20161229,20161113,W3431333,10401030,3,1413,P4,01,24,59,0800,0,0,正常车次，不受控
2400000Z490D,Z49,BXP,北京西,CDW,成都,BXP,北京西,CUW,重庆北,11:28,05:32,1,,18:04,Y,1084,1000003124400000005010000000553000000000,20161229,20161113,W3431333,10401030,3,1413,P4,01,08,59,0800,0,0,正常车次，不受控
24000000T90Q,T9,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,15:05,16:19,1,,25:14,Y,1514,1000003396400000000610000006613000000180,20161229,20161113,W3431333,10401030,3,1413,P4,01,14,59,0800,0,0,正常车次，不受控
24000000Z320,Z3,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,17:48,12:12,1,,18:24,Y,1104,1000003434400000000010000007463000000061,20161229,20161113,W3431333,10401030,3,1413,P3,01,07,59,0800,0,0,正常车次，不受控
2400000Z9501,Z95,BXP,北京西,CUW,重庆北,BXP,北京西,CUW,重庆北,18:06,16:33,1,,22:27,Y,1347,1000003124400000001910000001513000000229,20161229,20161113,W3431333,10401030,3,1413,P4,01,11,59,0800,0,0,正常车次，不受控
240000K50722,K507,BXP,北京西,GIW,贵阳,BXP,北京西,CQW,重庆,21:23,02:14,2,,28:51,Y,1731,1000003238400000000110000005363000000328,20161229,20161113,W3431333,10401030,3,1413,P3,01,27,59,0800,0,0,正常车次，不受控
780000K5080J,K508,GIW,贵阳,BXP,北京西,CQW,重庆,BXP,北京西,07:58,15:22,1,,31:24,Y,1884,1023603062406290002810236001063039900031,20161229,20161112,W3431333,10401030,3,1413,W2,05,33,59,1100,0,0,正常车次，不受控
770000G31005,G310,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,08:17,20:20,0,,12:03,Y,723,O076750431M1126000259238300004,20161229,20161113,O3M393,O0M090,3,OM9,W1,01,19,59,1100,0,0,正常车次，不受控
760000G30805,G308,ICW,成都东,BXP,北京西,CUW,重庆北,BXP,北京西,09:46,21:41,0,,11:55,Y,715,O076750000M1126000009238300004,20161229,20161113,O3M393,O0M090,3,OM9,W2,05,20,59,1100,0,0,正常车次，不受控
7700000T1006,T10,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,10:38,11:12,1,,24:34,Y,1474,1022903328406130002330389002001022900749,20161229,20161113,W3431333,10403010,3,1431,W1,01,12,59,1100,0,0,正常车次，不受控
7700000Z9601,Z96,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,12:04,10:51,1,,22:47,Y,1367,1025103141406730004710251001593042600360,20161229,20161113,W3431333,10401030,3,1413,W2,01,14,59,1100,0,0,正常车次，不受控
7600000Z5003,Z50,CDW,成都,BXP,北京西,CUW,重庆北,BXP,北京西,14:44,10:02,1,,19:18,Y,1158,1022903000406130004710229000003038900000,20161229,20161113,W3431333,10401030,3,1413,W1,04,11,59,1100,0,0,正常车次，不受控
77000000Z400,Z4,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,15:08,10:10,1,,19:02,Y,1142,1022903464406130001710229007613038900115,20161229,20161113,W3431333,10401030,3,1413,W1,01,08,59,1100,0,0,正常车次，不受控
770000K82009,K820,CUW,重庆北,BXP,北京西,CUW,重庆北,BXP,北京西,21:40,21:23,1,,23:43,Y,1423,1022403327405980002310224006643038100170,20161229,20161113,W3431333,10401030,3,1413,W2,01,14,59,1100,0,0,正常车次，不受控
770000K59009,K590,CQW,重庆,BXP,北京西,CQW,重庆,BXP,北京西,22:00,05:18,2,,31:18,Y,1878,1023603191406290003210236004483039900210,20161229,20161113,W3431333,10401030,3,1413,W2,01,26,59,1100,0,0,正常车次，不受控
330000K5980R,K599,BTC,包头,GZQ,广州,BXP,北京西,GZQ,广州,05:14,11:12,1,,29:58,Y,1798,1000003000400000000310000000003000000001,20161229,20161112,W3431333,10401030,3,1413,C1,09,36,59,0800,0,0,正常车次，不受控
2400000G710A,G71,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,07:40,17:14,0,,09:34,Y,574,O000000182M0000000549000000016,20161229,20161113,O3M393,O0M090,3,OM9,P2,01,16,59,0800,0,0,正常车次，不受控
2400000G790B,G79,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,10:00,18:03,0,,08:03,Y,483,O0000003209000000000M000000016P000000000,20161229,20161113,O393M3P3,O090M0P0,3,O9MP,P4,01,06,59,0800,0,0,正常车次，不受控
2400000G650B,G65,BXP,北京西,IZQ,广州南,BXP,北京西,IZQ,广州南,10:33,20:16,0,,09:43,Y,583,O000000448M0000001059000000022,20161229,20161113,O3M393,O0M090,3,OM9,P4,01,17,59,0800,0,0,正常车次，不受控
2400000Z3501,Z35,BXP,北京西,GZQ,广州,BXP,北京西,GZQ,广州,11:49,09:10,1,,21:21,Y,1281,10000031844000000002100000028060000000143000000223,20161229,20161113,W343136333,1040106030,3,14163,P4,01,05,59,0800,0,0,正常车次，不受控
2400000G670A,G67,BXP,北京西,IZQ,广州南,BXP,北京西,IZQ,广州南,12:13,22:18,0,,10:05,Y,605,O000000767M0000001239000000026,20161229,20161113,O3M393,O0M090,3,OM9,P3,01,18,59,0800,0,0,正常车次，不受控
2400000Z9702,Z97,BXP,北京西,GGQ,广州东,BXP,北京西,GGQ,广州东,12:40,10:01,1,,21:21,Y,1281,10000030994000000068600000001410000001753000000266,20161229,20161113,W343631333,1040601030,3,14613,P3,01,05,59,0800,0,0,正常车次，不受控
2400000G6906,G69,BXP,北京西,IZQ,广州南,BXP,北京西,IZQ,广州南,13:05,22:23,0,,09:18,Y,558,O000000666M0000001129000000023,20161229,20161113,O3M393,O0M090,3,OM9,P4,01,13,59,0800,0,0,正常车次，不受控
240000Z2010A,Z201,BXP,北京西,SEQ,三亚,BXP,北京西,GZQ,广州,17:54,15:42,1,,21:48,Y,1308,10000031744000000000300000000010000002916000000000,20161229,20161113,W343631333,1040301060,3,14316,P2,01,09,59,0800,0,0,正常车次，不受控
240000D9010F,D901,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,20:10,06:28,1,动车,10:18,Y,618,O000000071F000000369,20301231,20161113,F3O3,O0F0,3,OF,P2,01,04,29,0800,0,0,正常车次，不受控
240000D90305,D903,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,20:15,06:33,1,动车,10:18,Y,618,O000000050F000000444,20301231,20161113,F3O3,O0F0,3,OF,P3,01,05,29,0800,0,0,正常车次，不受控
240000D90900,D909,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,20:20,06:38,1,动车,10:18,Y,618,F000000386O000000039,20250323,20161113,O3F3,F0O0,3,FO,P4,01,05,29,0800,0,0,正常车次，不受控
240000D92707,D927,BXP,北京西,IOQ,深圳北,BXP,北京西,IZQ,广州南,20:25,06:48,1,动车,10:23,Y,623,F000000397O000000063,20250415,20161113,O3F3,F0O0,3,FO,P3,01,05,29,0800,0,0,正常车次，不受控
240000D9210K,D921,BXP,北京西,IZQ,广州南,BXP,北京西,IZQ,广州南,24:00,24:00,1,动车,99:59,IS_TIME_NOT_BUY,5999,,,20161113,,,,,P2,01,06,0,,0,1,列车停运
240000D92310,D923,BXP,北京西,ZHQ,珠海,BXP,北京西,IZQ,广州南,20:35,06:43,1,动车,10:08,Y,608,F000000033O000000000,20301231,20161113,O3F3,F0O0,3,FO,P3,01,05,29,0800,0,0,正常车次，不受控
